student_id,name,grade_level,preferred_format,baseline_score
stu_076f0af2,Osha Seth,Class 8,video,58
stu_81f016db,Lajita Balay,Class 7,video,36
stu_24cfdb5b,Advik Pradhan,Class 9,video,53
stu_bb6718fa,Jacob Rajan,Class 7,video,69
stu_a4f0ac42,Rajata Sagar,Class 6,video,69
stu_885af8d1,Falguni Gala,Class 7,text,72
stu_49361c73,Divya Bhatti,Class 10,text,31
stu_176ce0f9,Akshay Pall,Class 7,text,88
stu_18c24ebe,Rushil Naik,Class 9,video,63
stu_ef54b6c3,Kamya Dugar,Class 8,text,70
stu_f0f746e9,Veer Nigam,Class 7,video,80
stu_dc2ce0a3,Zinal Ganesan,Class 9,video,71
stu_f1c4a056,Bhanumati Nagar,Class 7,video,60
stu_5a506d14,Lohit Thaman,Class 8,video,37
stu_8aedff4a,Pahal Chaudhry,Class 9,text,56
stu_39d66911,Veda Setty,Class 6,text,52
stu_b3d13304,Mugdha Kapadia,Class 8,text,84
stu_fbfffd0a,Luke Deep,Class 6,text,65
stu_39ed7534,Hemangini Dhar,Class 9,video,82
stu_942c1f48,Rajeshri Mohan,Class 7,video,70
stu_9a48e14c,Finn Vaidya,Class 7,text,68
stu_c6a61aa5,Thomas Golla,Class 9,video,82
stu_02121f77,Ekanta Kata,Class 10,video,61
stu_ec18822e,Leela Lad,Class 7,video,79
stu_e10c008b,Om Jhaveri,Class 9,video,100
stu_851e5c81,Mitali Roy,Class 8,video,51
stu_a1ef5bcf,Harrison Chadha,Class 6,video,67
stu_95000d95,Charvi Zachariah,Class 6,video,93
stu_c4018cff,Maanas Bumb,Class 9,video,96
stu_e2e7e1b8,Yash Arya,Class 10,video,69
stu_5d717aec,Vasana Sarraf,Class 8,video,71
stu_26de2f10,Zehaan Karnik,Class 9,video,79
stu_22e95b75,Radhika Doshi,Class 7,video,52
stu_8abb7e80,Simon Koshy,Class 8,text,100
stu_e93e01ac,Bimala Mann,Class 6,video,68
stu_a9210b50,Kalpit Magar,Class 10,video,79
stu_408fc8dd,Mohini Gour,Class 7,video,75
stu_51e84a0b,Ansh Prashad,Class 10,video,73
stu_93a65933,Aarini Bajwa,Class 10,video,65
stu_ffe34377,Zilmil Chandran,Class 10,video,65
stu_6e67ee79,Upadhriti Varty,Class 7,video,40
stu_83d8129f,Lopa Tailor,Class 8,text,53
stu_9bf96dc3,Faraj Kala,Class 10,video,64
stu_0862e9ee,Leela Murthy,Class 10,video,55
stu_ede02015,Aayush Uppal,Class 9,text,48
stu_ab28531b,Azaan Lalla,Class 9,video,63
stu_2aaf9f73,Varenya Tank,Class 7,video,52
stu_d33e66e2,Indrajit Gulati,Class 7,video,65
stu_899f22c8,Zarna Lad,Class 7,video,63
stu_1a1e328d,Vincent Bora,Class 6,text,87
stu_e0eb8f0b,Ryan Dara,Class 6,video,82
stu_a46dad1a,Patrick Rattan,Class 6,video,73
stu_dfe032b2,Rudra Narayanan,Class 10,text,64
stu_7e9bef87,Adweta Patel,Class 10,video,42
stu_1ce13a0b,Zilmil Morar,Class 10,text,72
stu_6697ca10,Dev More,Class 6,video,77
stu_e7cca592,Samaksh Bir,Class 8,video,57
stu_9a6c4cf7,Lipika Vaidya,Class 6,video,80
stu_e4c2fb1d,Upasna Bassi,Class 7,video,74
stu_f23fbdf0,Vihaan Batta,Class 10,video,48
stu_40f68849,Hemani Bajaj,Class 7,video,86
stu_90cb1b27,Sanya Shan,Class 7,text,72
stu_9aec0b8e,Viraj Mani,Class 8,video,20
stu_40a8dd2c,Rajeshri Barman,Class 7,text,97
stu_8be49ae9,Zinal Bala,Class 10,text,59
stu_37303e48,Brijesh Kapadia,Class 10,video,56
stu_f62c22c6,Lopa Edwin,Class 7,text,51
stu_e9c11419,Libni Uppal,Class 9,video,66
stu_d30b1879,Niharika Subramanian,Class 7,video,45
stu_c33a0709,Warda Tata,Class 7,video,62
stu_b84ca9c5,Tara Narayan,Class 6,video,92
stu_eadb4215,Pratyush Nagy,Class 7,video,48
stu_fdb74f99,Bhavna Bhasin,Class 6,video,78
stu_d4760e38,Teerth Shenoy,Class 7,video,78
stu_63bb74b1,Ansh Deep,Class 7,video,63
stu_62d4daf0,Kabir Shukla,Class 7,text,67
stu_6cea2b2e,Pratyush Lad,Class 9,video,53
stu_f8ed6b6c,Kamala Parmar,Class 6,video,53
stu_13afda80,Jasmit Murty,Class 10,text,73
stu_9a4a2197,Aarnav Suresh,Class 8,video,67
stu_97c9c1b1,Vansha Ghose,Class 7,video,74
stu_0b6c91ef,Shravya Johal,Class 9,video,34
stu_230363f6,Hiral Karpe,Class 9,video,84
stu_4a50c3d1,Chameli Dhar,Class 8,video,76
stu_f4fa58e9,Odika Chahal,Class 6,video,79
stu_5db98bba,Vaishnavi Karan,Class 10,video,75
stu_7bee19f2,Mohammed Chaudhary,Class 8,video,76
stu_5401294f,Naksh Shankar,Class 8,text,48
stu_e7dc4c91,Meghana Kadakia,Class 6,video,84
stu_f4725d80,Onkar Yogi,Class 9,video,61
stu_1a71873f,Nisha Modi,Class 10,text,84
stu_dcb8bfa1,Neel Kade,Class 8,video,79
stu_7b77c6c6,Isaac Saran,Class 6,text,77
stu_1a6cbffe,Abdul Grover,Class 6,video,100
stu_a120c62f,Aahana Puri,Class 10,video,63
stu_b43be9b4,Nimrat Sehgal,Class 7,video,59
stu_534dfb28,Pavani Batta,Class 8,video,63
stu_d2ba7b33,Alka Ramakrishnan,Class 8,video,77
stu_e4c6128c,Max Balay,Class 6,text,62
stu_bdfcc7a7,Isaiah Pathak,Class 7,video,67
stu_b3a457b0,Parth Mall,Class 8,video,97
stu_aba8ed62,Reva Agrawal,Class 8,video,65
stu_0ec4b7fd,Anika Patla,Class 10,text,60
stu_3c507ee7,Rachana Soman,Class 8,video,54
stu_16d09b44,Karan Aggarwal,Class 9,video,39
stu_11151ff5,Yamini Chopra,Class 7,video,61
stu_82359967,Pahal Modi,Class 9,text,99
stu_7bff101d,Liam Soni,Class 10,video,86
stu_7871c2dd,Radha Srinivas,Class 10,text,100
stu_295ff003,Vincent Iyer,Class 6,text,69
stu_95815fd7,Ladli Kale,Class 6,text,82
stu_bfa438d2,Jasmit Kari,Class 8,video,65
stu_a5d7057d,Harrison Bajwa,Class 6,text,73
stu_e6f8ea2f,Sarthak Chacko,Class 10,video,58
stu_87c5a1e3,Sathvik Purohit,Class 9,video,94
stu_937cd785,Naksh Karan,Class 7,video,55
stu_f821fd7d,Teerth Wason,Class 6,video,40
stu_e301b1f6,Bimala Nair,Class 6,video,78
stu_865b9222,Yashasvi Wason,Class 10,video,74
stu_20844862,Isha Vohra,Class 8,video,60
stu_414fde9e,Vritti Saraf,Class 9,text,50
stu_87c6e5fd,Janya Deo,Class 6,video,88
stu_89509337,Jason Sem,Class 6,video,49
stu_523bab8c,Eiravati Purohit,Class 9,text,67
stu_46745b14,Edhitha Gola,Class 8,text,100
stu_65205c72,Omya Sawhney,Class 10,video,50
stu_636293ad,Bhavya Pathak,Class 10,video,87
stu_bc2728f0,Max Deo,Class 6,video,55
stu_01672394,Pallavi Ravi,Class 10,video,81
stu_c17a4db6,Yug Mital,Class 9,text,68
stu_4fb60703,Yug Kapadia,Class 6,video,52
stu_b5afd146,Robert Bhargava,Class 6,video,75
stu_0a247b73,Yug Hegde,Class 8,video,64
stu_dcbce551,Kamya Bhakta,Class 6,video,65
stu_e7ec61ce,Nisha Nazareth,Class 9,video,86
stu_1d353618,Chanakya Majumdar,Class 7,video,66
stu_9c9fe4d3,Siya Kanda,Class 9,video,77
stu_7cc5cdfd,Widisha Palla,Class 6,video,65
stu_2c90ba3b,Barkha Majumdar,Class 9,video,52
stu_f395d0a1,Rachit Dass,Class 10,video,77
stu_6080d57e,Abhimanyu Chaudhuri,Class 7,video,56
stu_0ababa15,Anika Mani,Class 6,text,59
stu_f77bc0cd,Veer Padmanabhan,Class 7,video,50
stu_494f708b,Unnati Sankaran,Class 7,text,100
stu_3fe93ad6,Chameli Mahajan,Class 7,video,80
stu_81d7af22,Chanchal Doctor,Class 7,video,86
stu_12bcc650,Guneet Gola,Class 10,text,69
stu_73f569e1,Ekantika Ravel,Class 7,video,100
stu_00d60560,Matthew Zacharia,Class 9,video,82
stu_29c50feb,Banjeet Bhatt,Class 6,text,84
stu_712b191e,Ranbir Mohan,Class 6,video,37
stu_ca2f971e,Vivaan Kapur,Class 9,video,93
stu_09b9f492,Ijaya Merchant,Class 10,video,91
stu_44b19f16,Warhi Saxena,Class 10,video,67
stu_e4669f21,Advay Chaudhry,Class 10,video,53
stu_fc84233d,Ekavir Dube,Class 10,video,36
stu_b8e6d762,Vaishnavi Raju,Class 6,text,45
stu_89b51f9e,Radha Nanda,Class 7,video,64
stu_c477eef1,Mohammed Grover,Class 8,video,58
stu_5bfa3ae4,Chandresh Sastry,Class 10,video,81
stu_dd1e0981,Mugdha Mall,Class 8,text,72
stu_f93df752,Urishilla Kashyap,Class 6,video,59
stu_182bf36e,Keya Sundaram,Class 10,video,59
stu_47c49144,Arin Biswas,Class 10,video,52
stu_9512e9b0,Omaja Talwar,Class 6,text,63
stu_0387b2dd,Saumya Deshmukh,Class 9,text,66
stu_3ea56fa9,Bimala Chakrabarti,Class 10,text,49
stu_c0c7a9d1,Fitan Sidhu,Class 10,video,62
stu_bb8a7f21,Inaya Wagle,Class 8,video,58
stu_8ed93deb,Balendra Khosla,Class 6,video,64
stu_e7ab10c1,Aarna Venkataraman,Class 7,video,92
stu_b50baa6d,Gagan Ghose,Class 9,video,92
stu_2b4b77af,Michael Nagy,Class 9,video,74
stu_aae5d0f2,Reyansh Chana,Class 7,video,71
stu_ca826028,Jatin Dhaliwal,Class 8,video,70
stu_096cd1da,Yoshita Deol,Class 7,video,95
stu_7b22ed63,Robert Anne,Class 7,video,62
stu_a281342d,Lakshit Khatri,Class 9,video,75
stu_439f7757,Watika Apte,Class 10,video,61
stu_7913dbd6,Zansi Bhat,Class 9,video,40
stu_ff4bcdb1,Priya Bhakta,Class 6,text,85
stu_ab6a1a66,Daksha Bahri,Class 7,video,56
stu_9e2e277e,Neel Pillay,Class 7,video,76
stu_d1a1502d,Ranbir Mutti,Class 9,text,67
stu_732d9a64,Mohammed Hora,Class 6,text,77
stu_8e4f3088,Pallavi Shanker,Class 9,video,74
stu_2b9e2442,Dalbir Sathe,Class 7,text,59
stu_acc3efa5,Eiravati Vasa,Class 7,video,45
stu_59384842,Advika Kanda,Class 7,video,63
stu_ac2c8582,Sai Gade,Class 7,text,29
stu_7ec54901,Urvashi Mannan,Class 7,video,84
stu_de21fc65,Jyoti Hegde,Class 9,video,48
stu_bf56ad42,Harinakshi Bahl,Class 10,text,54
stu_318a8511,Madhav Thakkar,Class 10,video,82
stu_a3d53fcf,Gautam Ratti,Class 9,video,62
stu_b0d68c5d,Manan Balasubramanian,Class 7,video,54
stu_ff630272,Yash Chanda,Class 10,video,48
stu_3eeaa8b0,Zinal Dubey,Class 7,video,88
stu_6eace24f,Balendra Walla,Class 8,video,59
stu_01fbd815,Jonathan Viswanathan,Class 6,video,42
stu_e49b9e76,Hemani Merchant,Class 6,video,66
stu_2592afd3,Viraj Gandhi,Class 6,video,75
stu_30da583d,Ria Sane,Class 10,text,68
stu_376005b4,Samaksh Bal,Class 6,video,70
stu_5b7d13f4,Joshua Agrawal,Class 7,text,49
stu_854a8e61,Vivaan Chaudhuri,Class 9,video,44
stu_dc99f504,Qushi Ahuja,Class 10,text,54
stu_95782bc3,Rishi Cheema,Class 8,video,86
stu_5ad34342,Lipika Dubey,Class 10,video,28
stu_8e12d711,Ekaja Pal,Class 9,video,87
stu_76beec2b,Yachana Vasa,Class 8,video,70
stu_c73d8355,Reyansh Saini,Class 8,video,76
stu_7ef55823,Viraj Ahluwalia,Class 8,video,79
stu_d235b896,Chaitaly Din,Class 7,text,60
stu_71680241,Azad Sule,Class 8,video,83
stu_14389791,Osha Dora,Class 6,video,66
stu_b23a2ff0,Aarna Bajwa,Class 7,text,87
stu_b2475418,Viraj Padmanabhan,Class 6,video,65
stu_30d80a2a,Ishwar Bhat,Class 8,video,53
stu_8141ffa8,Amrita Panchal,Class 10,video,100
stu_28437c6d,Aradhana Nadig,Class 10,video,51
stu_c78ee18e,Gaurangi Pandit,Class 10,text,51
stu_5e0c95b5,Vrinda Chandra,Class 7,video,62
stu_73ea8ba6,Nitesh Bala,Class 9,video,60
stu_8799fc48,Utkarsh Luthra,Class 7,text,94
stu_0bfca530,Zaid Prakash,Class 10,video,25
stu_c11dabeb,Pratyush Biswas,Class 8,video,45
stu_4d4d85bc,Vedhika Amble,Class 8,video,71
stu_28fe3601,Chaman Kale,Class 9,video,81
stu_aca19311,Dakshesh Wagle,Class 7,video,81
stu_ef6a4f44,Reyansh Nagy,Class 10,video,68
stu_c22e239a,Yashawini Bose,Class 6,video,71
stu_d344370f,Dhriti Samra,Class 7,video,74
stu_825de30d,Chaitaly Lanka,Class 10,video,64
stu_a69ae068,Ishanvi Gour,Class 10,text,78
stu_73b91b5c,Vasatika Randhawa,Class 6,video,56
stu_85e04948,Nitara Bir,Class 7,text,46
stu_5f86beff,Sai Devan,Class 8,video,63
stu_e95693a8,Chaitanya Kara,Class 6,text,78
stu_ac66ab97,Eshana Gulati,Class 9,text,44
stu_48c31d95,Oni Ramesh,Class 8,video,53
stu_b6f35777,Tripti Kapur,Class 6,text,75
stu_abc4db3e,Vasana Sridhar,Class 10,video,71
stu_545c7368,Balhaar Rajan,Class 6,video,54
stu_7621976a,Eiravati Acharya,Class 8,text,45
stu_444d08a6,Nirja Bhavsar,Class 7,video,58
stu_2f3c4f66,Rachita Prashad,Class 10,text,81
stu_91458de7,Veer Samra,Class 8,video,97
stu_c6d17606,Ati Gupta,Class 10,text,43
stu_d61986b7,Rajeshri Salvi,Class 6,text,75
stu_d367fc87,Radhika Nagi,Class 8,text,73
stu_f876f08b,Ira Chawla,Class 8,video,67
stu_35d9aa1a,Laksh Ramachandran,Class 7,video,58
stu_34492030,Hema Parmer,Class 7,text,70
stu_f30b4cf3,Finn Panchal,Class 6,video,97
stu_aecf7519,Bhanumati Sehgal,Class 8,video,71
stu_30a2bf9e,Benjamin Goyal,Class 8,video,74
stu_ce00800f,Pallavi Venkataraman,Class 6,video,91
stu_6d902eab,Nisha Puri,Class 8,video,58
stu_e2fc70c4,Hredhaan Nazareth,Class 8,video,51
stu_6bcb875c,Omya Vyas,Class 10,video,89
stu_68c96045,Yoshita Dani,Class 9,video,45
stu_2400a0b3,Alka Natt,Class 9,video,69
stu_f96bd045,Arunima Guha,Class 8,video,88
stu_1f042592,Aayush Prasad,Class 7,video,72
stu_639ce6e8,Vedika Lanka,Class 10,video,68
stu_1993fde7,Hritik Mitra,Class 7,text,72
stu_0cd61930,Thomas Merchant,Class 10,video,78
stu_745f3349,Teerth Ravi,Class 9,video,66
stu_a2abbf30,Anthony Deshpande,Class 10,text,86
stu_9523a74c,Omaja Pathak,Class 6,video,79
stu_88e70a99,Vincent Sengupta,Class 9,video,44
stu_9a6cfc84,Balendra Babu,Class 8,video,49
stu_8cfe7294,Utkarsh Cheema,Class 6,video,38
stu_ee7bd5a5,Ishwar Puri,Class 7,video,56
stu_8cc21dae,Waida Chauhan,Class 8,video,48
stu_d480bb76,Gaurangi Brar,Class 10,video,81
stu_4630ba5d,Isaac Bora,Class 6,text,100
stu_823b904f,Meghana Deol,Class 7,video,43
stu_fc569f11,Rishi Nadkarni,Class 7,video,49
stu_854ce7aa,Turvi Dave,Class 8,video,37
stu_cca2a3a8,Theodore Dey,Class 8,video,72
stu_a84dba28,Gautami Dey,Class 6,text,89
stu_acad50db,Bishakha Mandal,Class 8,video,57
stu_a763f20f,Nandini Sampath,Class 6,video,55
stu_8f874250,Orinder Chatterjee,Class 9,video,57
stu_c8271746,Kamya Goswami,Class 9,video,74
stu_3cfd90d2,Zinal Jaggi,Class 7,video,78
stu_8c447f32,Ryan Tailor,Class 7,video,65
stu_158a530c,Urvashi Toor,Class 7,video,81
stu_c5d4382d,Alka Hora,Class 6,video,57
stu_ab19a2cb,Widisha Manne,Class 6,video,66
stu_95bf52d0,Xavier Chand,Class 10,video,67
stu_12187026,Anika Ramanathan,Class 8,video,65
stu_dfc74b09,Suhani Agarwal,Class 9,video,81
stu_6caecf56,Gunbir Hora,Class 6,video,66
stu_c45edae4,Ishita Puri,Class 6,video,75
stu_8fb803d5,Yashica Issac,Class 6,text,88
stu_d3c01748,Chaaya Varghese,Class 9,video,33
stu_e4bb0aa7,Ranveer Kar,Class 10,text,56
stu_e755d4c8,Alka Sule,Class 6,text,57
stu_ac34ce8a,Amaira Sastry,Class 10,video,71
stu_0fc809be,Nikita Bakshi,Class 8,video,44
stu_50c5aa97,Arunima Buch,Class 9,video,75
stu_9a00c74f,Daksh Gokhale,Class 8,text,64
stu_72d3f188,Vaishnavi Mannan,Class 6,video,68
stu_7c2934b0,Rajeshri Gopal,Class 6,text,61
stu_2260b369,Hemal Babu,Class 7,text,59
stu_82dfe292,Balhaar Sastry,Class 8,text,45
stu_0bd841c7,Leena Prashad,Class 8,video,66
stu_84e8578a,Abeer Kalita,Class 7,video,57
stu_fe158ce4,Triya Prabhakar,Class 8,video,45
stu_8181e800,Nathaniel Goyal,Class 6,video,59
stu_cb9e247e,Amaira Samra,Class 6,video,44
stu_87a70328,Tanveer Gill,Class 8,video,54
stu_e7edbfed,Gaurangi Sekhon,Class 7,video,65
stu_128ea66b,Tanish Tank,Class 7,text,62
stu_463aecae,Gautami Bail,Class 8,video,54
stu_a74a461d,Upma Ramanathan,Class 9,video,73
stu_0d28f1b6,Indrajit Date,Class 9,text,80
stu_742d1ec0,Shaurya Ravel,Class 10,video,65
stu_14381650,Nirja Pant,Class 6,text,55
stu_3c360de6,Janya Raju,Class 9,text,62
stu_6acbc99f,Abhiram Bhakta,Class 10,text,65
stu_cfab5caa,Tejas Parmar,Class 10,video,75
stu_00a58955,Maanav Rattan,Class 6,video,69
stu_bc1d10a2,Riya Narang,Class 7,text,68
stu_7cb57c63,Radhika Toor,Class 7,video,34
stu_8ba6ffcb,Bhavika Dara,Class 6,video,54
stu_37c347bd,Udyati Kata,Class 9,video,55
stu_b9fcad91,Advay Desai,Class 8,video,62
stu_c4c05e53,Ekaraj Shah,Class 7,text,54
stu_6392fa97,Farhan Kaur,Class 6,video,60
stu_a00bca21,Christopher Sha,Class 10,video,72
stu_cb5e3cb3,Abhiram Cheema,Class 10,video,100
stu_a4a1b507,Waida Seth,Class 9,text,70
stu_dbaadc0e,Krishna Kadakia,Class 8,video,99
stu_cf34f07a,Qadim Shetty,Class 8,text,75
stu_7dd5f692,Lohit Ramachandran,Class 10,video,83
stu_5c0cf057,Hema Lalla,Class 9,video,60
stu_688094a7,Ishwar Gala,Class 7,video,54
stu_91e68b29,Rohan Chakrabarti,Class 7,text,47
stu_37300b84,Yashasvi Prashad,Class 9,video,89
stu_89c3d887,Mason Din,Class 7,text,80
stu_5fc042fd,Madhavi Kade,Class 6,video,75
stu_65d97699,Tanveer Sharaf,Class 10,video,76
stu_fb485d04,Patrick Khanna,Class 8,text,78
stu_ac520cac,Elijah Kunda,Class 7,text,52
stu_4279006c,Yamini Issac,Class 9,video,78
stu_a9158dbb,Yashasvi Khare,Class 10,video,58
stu_39e31dcf,Daksh Ahluwalia,Class 6,video,60
stu_3a80c60d,Bakhshi Tata,Class 10,text,89
stu_5c1d135c,Saksham Chauhan,Class 9,video,52
stu_d7336d1e,Jacob Buch,Class 10,text,89
stu_bc70bd86,Samesh Chaudhuri,Class 6,video,84
stu_ccb591a7,Guneet Varughese,Class 9,video,74
stu_7adf5b61,Vrinda Naidu,Class 6,video,87
stu_7a474ff9,Panini Palla,Class 7,text,72
stu_4bef2185,Chanchal Barman,Class 8,text,59
stu_bc28dab8,Bhavna Thakur,Class 6,video,69
stu_c0950073,Chanakya Sandal,Class 6,video,63
stu_6ce839b1,Isha Bajaj,Class 6,video,67
stu_f60720cc,Orinder Sem,Class 6,video,88
stu_8de0d0e9,Bhavya Sood,Class 6,video,82
stu_6cce138c,Janani Mall,Class 9,video,49
stu_c778aa85,Hemang Padmanabhan,Class 6,video,71
stu_2ef04f4f,Tara Bumb,Class 7,video,31
stu_b75cb008,Eshana Subramaniam,Class 8,video,75
stu_33a1afeb,Akshay Kara,Class 9,video,67
stu_a8f3e813,Ranbir Ganesan,Class 10,video,67
stu_51289662,Balveer Murthy,Class 9,video,74
stu_816f1e6d,Yashica Chopra,Class 6,video,54
stu_6858703c,Vedant Kari,Class 7,text,84
stu_e2725665,Vivaan Bajwa,Class 8,video,62
stu_54e8fb38,Rushil Raj,Class 9,video,74
stu_0fd1b114,Jai Peri,Class 9,video,75
stu_93282214,Prisha Devan,Class 7,text,58
stu_84a5dc73,Anvi Kala,Class 10,video,83
stu_a7666d58,Zarna Baria,Class 10,video,45
stu_be1a5245,Udarsh Swaminathan,Class 10,text,64
stu_1b23853d,Alka Chada,Class 7,video,67
stu_abfc7164,Riya Devi,Class 10,text,57
stu_f3f1376a,Ojas Bath,Class 7,text,69
stu_56f4c60b,Adweta Hayer,Class 10,video,80
stu_7204eeb9,Lopa Devan,Class 9,video,75
stu_19027eee,Varsha Lal,Class 9,video,62
stu_6f48765a,Girindra Sengupta,Class 10,video,74
stu_734e348b,Devansh Suri,Class 6,video,54
stu_0328e7af,Pranav Sura,Class 6,video,52
stu_6fcba06b,Vrishti Khosla,Class 7,video,99
stu_187c6305,Matthew Shroff,Class 9,video,81
stu_2199801d,Waida Sundaram,Class 9,video,49
stu_931b5551,Advik Kant,Class 7,video,66
stu_e19dcaba,Neelima Pandey,Class 9,video,89
stu_4d3a9d2a,Urvashi Master,Class 6,text,80
stu_9e166965,Gautam Raval,Class 9,video,55
stu_3626ca8d,Akshay Butala,Class 7,video,74
stu_0706b7b9,Christopher Maharaj,Class 10,video,72
stu_8df21788,Utkarsh Bal,Class 7,video,73
stu_c4ac83c4,Harini Sengupta,Class 10,text,83
stu_e86c0994,Nathaniel Raval,Class 8,text,72
stu_7de496f3,Christopher Parmer,Class 9,text,95
stu_f1e0c7ed,Theodore Bedi,Class 8,video,81
stu_4cfe71a9,Chasmum Chauhan,Class 10,text,35
stu_80d483da,Anvi Dara,Class 7,video,46
stu_8fe0c339,Maya Kala,Class 10,video,72
stu_5619ff5b,Logan Grover,Class 6,text,63
stu_7592a304,Umang Pingle,Class 6,video,69
stu_bf721100,Anirudh Bora,Class 9,video,78
stu_25993d77,Jagvi Subramanian,Class 10,text,76
stu_da920c13,Jonathan Mall,Class 9,video,55
stu_b47d1129,Baljiwan Lalla,Class 6,text,62
stu_18d83e69,Wazir Handa,Class 10,text,83
stu_a054df5e,Reyansh Sengupta,Class 6,video,73
stu_3fad9231,Warinder Kar,Class 9,video,77
stu_7d20fbb5,Onveer Balay,Class 9,video,26
stu_6ef25dff,Jyoti Agrawal,Class 9,text,61
stu_5f6bf036,Aradhana Swamy,Class 6,video,76
stu_7c205ab9,Rajata Sura,Class 7,video,20
stu_275b6387,Kashvi Narasimhan,Class 9,text,98
stu_40c5401e,Barkha Mane,Class 6,text,88
stu_552c692f,Widisha Batta,Class 7,text,58
stu_1d1b657d,Chanchal Narain,Class 7,video,55
stu_18333361,Daksha Mishra,Class 7,text,97
stu_67c3bea9,Veda Babu,Class 8,video,70
stu_1a87f9e8,Daniel Sangha,Class 7,text,57
stu_4b429ab2,Upasna Saini,Class 8,video,62
stu_9fa54779,Tanay Oommen,Class 10,video,31
stu_4135fb4e,Vihaan Khanna,Class 7,text,67
stu_0a21433c,Ishita Sahni,Class 7,video,64
stu_1cf5268e,Veda Mahajan,Class 7,video,71
stu_4c70e1ee,Gopal Baria,Class 9,video,66
stu_f83ee123,Sachi Banerjee,Class 6,text,77
stu_662fba4f,Ekbal Trivedi,Class 6,video,89
stu_5e5311c8,Charita Biswas,Class 10,video,64
stu_50ee3a51,Niharika Khanna,Class 7,video,68
stu_8839ec57,Vyanjana Trivedi,Class 10,video,72
stu_cd0b487e,Jagdish Kashyap,Class 8,video,85
stu_f1964c6e,Kritika Chad,Class 9,video,84
stu_736eb560,Saksham Borra,Class 7,text,82
stu_08dd08f5,Aarini Tiwari,Class 9,video,52
stu_86137a87,Bhavika Ramakrishnan,Class 9,video,85
stu_6a61a0f8,Gaurangi Bawa,Class 8,video,41
stu_7fa48413,Anvi Swamy,Class 8,text,55
stu_63a7c1b3,Yauvani Borra,Class 9,video,77
stu_c3fc4c4a,Manbir Kashyap,Class 10,video,75
stu_993548bb,Anita Naidu,Class 6,video,64
stu_db4f53d6,Maanav Shetty,Class 9,video,79
stu_ebbe9fbb,Pavani Warrior,Class 7,text,89
stu_15ab1c63,Ronith Chawla,Class 10,text,93
stu_b98cb529,Forum Nadig,Class 10,text,55
stu_d214ece2,Keya Bhardwaj,Class 7,video,28
stu_c823322b,Banjeet Balan,Class 6,video,71
stu_b16cd907,Anvi Batra,Class 9,video,51
stu_1f260a2f,Matthew Dass,Class 8,video,31
stu_8f09112a,Vedant Mani,Class 8,video,90
stu_2fe2a404,Shivansh Bajwa,Class 9,video,86
stu_60aac5f5,Bhanumati Pandit,Class 6,text,69
stu_c53807e8,Janaki Chaudhary,Class 10,video,71
stu_303b87e8,Manya Tak,Class 10,video,65
stu_7bd970e8,Chasmum Minhas,Class 10,text,64
stu_89a8e1bf,Rachana Buch,Class 9,video,47
stu_5090b603,Nitara Ravi,Class 8,text,75
stu_dea16eee,Daksha Chaudhry,Class 9,text,66
stu_4d90bb26,Priya Pillay,Class 7,text,77
stu_9c5a299e,Amol Ganesan,Class 9,text,90
